state,county,fips,year,population,pub_sup_1,pub_sup_2,pub_sup_3,pub_sup_4,pub_sup_5,pub_sup_6,pub_sup_7,pub_sup_8,pub_sup_9,pub_sup_10,pub_sup_11,pub_sup_12,dom_sup_1,dom_sup_2,dom_sup_3,dom_sup_4,dom_sup_5,dom_sup_6,dom_sup_7,dom_sup_8,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,irrigation_1,irrigation_2,irrigation_3,irrigation_4,irrigation_5,irrigation_6,irrigation_7,crop_1,crop_2,crop_3,crop_4,crop_5,crop_6,crop_7,golf_1,golf_2,golf_3,golf_4,golf_5,golf_6,golf_7,livestock_1,livestock_2,livestock_3,aqua_1,aqua_2,aqua_3,aqua_4,aqua_5,aqua_6,aqua_7,aqua_8,aqua_9,mining_1,mining_2,mining_3,mining_4,mining_5,mining_6,mining_7,mining_8,mining_9,thermoelectric_1,thermoelectric_2,thermoelectric_3,thermoelectric_4,thermoelectric_5,thermoelectric_6,thermoelectric_7,thermoelectric_8,thermoelectric_9,thermoelectric_10,thermoelectric_11,thermoelectric_12,thermoelectric_13,thermoelectric_14,thermoelectric_15,thermoelectric_16,thermoelectric_17,thermoelectric_18,thermoelectric_19,thermoelectric_20,thermoelectric_21,thermoelectric_22,thermoelectric_23,thermoelectric_24,thermoelectric_25,thermoelectric_26,thermoelectric_27,thermoelectric_28,thermoelectric_29,thermoelectric_30,gro_wat_1,gro_wat_2,gro_wat_3,surf_wat_1,surf_wat_2,surf_wat_3,total_withdrawal_1,total_withdrawal_2,total_withdrawal_3
AL,Chilton County,1021,2010,43643.0,,,34330.0,3.06,0.0,3.06,1.83,0.0,1.83,4.89,0.0,4.89,9313.0,0.74,0.0,0.74,79.0,2.74,80.0,3.48,0.35,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,1.12,0.03,1.15,0.71,0.05,0.01,0.77,1.12,0.0,1.12,0.65,0.05,0.01,0.71,0.0,0.03,0.03,0.06,0.0,0.0,0.06,0.07,0.11,0.18,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.0,5.35,1.97,0.0,1.97,7.32,0.0,7.32
AL,Choctaw County,1023,2010,13859.000000000002,,,5687.0,1.36,0.0,1.36,0.0,0.0,0.0,1.36,0.0,1.36,8172.000000000001,0.62,0.0,0.62,76.0,0.38,67.0,1.0,0.0,0.0,0.0,40.76,0.0,40.76,40.76,0.0,40.76,0.0,0.03,0.03,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.0,0.0,0.06,0.04,0.05,0.09,0.0,,0.0,0.03,,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,0.0,2.02,40.87,0.0,40.87,42.89,0.0,42.89
AL,Clarke County,1025,2010,25833.0,,,18917.0,2.25,0.0,2.25,0.9,0.0,0.9,3.15,0.0,3.15,6916.0,0.38,0.0,0.38,55.0,1.04,55.0,1.42,0.0,0.0,0.0,20.22,0.0,20.22,20.22,0.0,20.22,0.02,0.05,0.07,0.16,0.0,0.0,0.16,0.02,0.0,0.02,0.05,0.0,0.0,0.05,0.0,0.05,0.05,0.11,0.0,0.0,0.11,0.03,0.05,0.08,0.03,,0.03,0.03,,0.03,0.06,0.0,0.06,0.35,0.0,0.35,0.0,0.0,0.0,0.35,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,3.06,21.25,0.0,21.25,24.31,0.0,24.31
AL,Clay County,1027,2010,13932.0,,,6347.0,0.0,0.0,0.0,1.66,0.0,1.66,1.66,0.0,1.66,7585.0,0.48,0.0,0.48,63.0,0.49,77.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.1,0.0,0.0,0.1,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.0,0.02,0.02,0.06,0.0,0.0,0.06,0.13,0.17,0.3,0.0,,0.0,0.01,,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.61,1.9,0.0,1.9,2.51,0.0,2.51
AL,Cleburne County,1029,2010,14972.0,,,6567.0,0.0,0.0,0.0,0.56,0.0,0.56,0.56,0.0,0.56,8405.0,0.77,0.0,0.77,92.0,0.6,91.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.45,0.0,0.0,0.45,0.0,0.16,0.16,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.16,0.3,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.91,0.88,0.0,0.88,1.79,0.0,1.79
AL,Coffee County,1031,2010,49948.0,,,41198.0,7.6,0.0,7.6,0.0,0.0,0.0,7.6,0.0,7.6,8750.0,0.72,0.0,0.72,82.0,3.57,87.0,4.29,1.13,0.0,1.13,0.0,0.0,0.0,1.13,0.0,1.13,0.7,2.97,3.67,4.84,0.02,0.0,4.86,0.7,2.81,3.51,4.58,0.02,0.0,4.6,0.0,0.16,0.16,0.26,0.0,0.0,0.26,0.34,0.46,0.8,0.48,,0.48,0.26,,0.26,0.74,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97,0.0,10.97,3.69,0.0,3.69,14.66,0.0,14.66
AL,Colbert County,1033,2010,54428.0,,,50488.0,0.57,0.0,0.57,8.22,0.0,8.22,8.79,0.0,8.79,3940.0,0.27,0.0,0.27,69.0,3.27,65.0,3.54,0.21,0.0,0.21,69.54,0.0,69.54,69.75,0.0,69.75,0.89,1.3,2.19,3.2,0.0,0.0,3.2,0.89,0.89,1.78,2.66,0.0,0.0,2.66,0.0,0.41,0.41,0.54,0.0,0.0,0.54,0.13,0.16,0.29,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.73,0.73,0.0,0.73,0.0,0.0,0.0,1262.3,0.0,1262.3,1262.3,0.0,1262.3,6035.48,0.0,0.0,0.0,1262.3,0.0,1262.3,1262.3,0.0,1262.3,6035.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,2.07,1342.25,0.0,1342.25,1344.32,0.0,1344.32
AL,Conecuh County,1035,2010,13228.0,,,7544.0,1.69,0.0,1.69,0.0,0.0,0.0,1.69,0.0,1.69,5684.0,0.32,0.0,0.32,56.0,0.48,64.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.19,0.0,0.0,0.19,0.06,0.0,0.06,0.13,0.0,0.0,0.13,0.0,0.03,0.03,0.06,0.0,0.0,0.06,0.06,0.1,0.16,0.07,,0.07,0.07,,0.07,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,2.2,0.2,0.0,0.2,2.4,0.0,2.4
AL,Coosa County,1037,2010,11539.0,,,6654.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.3,4885.0,0.43,0.0,0.43,88.0,0.58,87.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.08,0.0,0.0,0.08,0.01,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.02,0.02,0.06,0.0,0.0,0.06,0.02,0.03,0.05,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.04,0.0,0.04,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.84,0.09,0.0,0.09,0.93,0.0,0.93
AL,Covington County,1039,2010,37765.0,,,24113.000000000004,4.95,0.0,4.95,0.0,0.0,0.0,4.95,0.0,4.95,13652.0,0.88,0.0,0.88,64.0,1.57,65.0,2.45,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.79,1.17,1.96,1.86,0.02,0.0,1.88,0.79,1.05,1.84,1.6,0.02,0.0,1.62,0.0,0.12,0.12,0.26,0.0,0.0,0.26,0.25,0.34,0.59,0.05,,0.05,0.05,,0.05,0.1,0.0,0.1,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,1.74,0.0,1.74,1.74,0.0,1.74,2834.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,1.74,1.74,0.0,1.74,2834.29,7.02,0.0,7.02,3.3,0.0,3.3,10.32,0.0,10.32
AL,Crenshaw County,1041,2010,13906.0,,,10559.0,2.05,0.0,2.05,0.0,0.0,0.0,2.05,0.0,2.05,3347.0,0.19,0.0,0.19,57.0,0.69,65.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.67,0.01,0.0,0.68,0.0,0.23,0.23,0.61,0.01,0.0,0.62,0.0,0.02,0.02,0.06,0.0,0.0,0.06,0.28,0.39,0.67,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,2.52,0.64,0.0,0.64,3.16,0.0,3.16
AL,Cullman County,1043,2010,80406.0,,,77825.0,0.48,0.0,0.48,30.57,0.0,30.57,31.05,0.0,31.05,2581.0000000000005,0.24,0.0,0.24,93.0,6.12,79.0,6.36,0.43,0.0,0.43,1.83,0.0,1.83,2.26,0.0,2.26,1.08,1.17,2.25,1.51,0.01,0.01,1.53,1.08,1.08,2.16,1.3,0.01,0.01,1.32,0.0,0.09,0.09,0.21,0.0,0.0,0.21,1.04,1.01,2.05,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,0.0,3.28,34.6,0.0,34.6,37.88,0.0,37.88
AL,Dale County,1045,2010,50251.00000000002,,,41154.0,6.85,0.0,6.85,0.0,0.0,0.0,6.85,0.0,6.85,9097.0,0.69,0.0,0.69,76.0,3.1,75.0,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,1.29,2.16,3.0,0.02,0.0,3.02,0.87,1.13,2.0,2.74,0.02,0.0,2.76,0.0,0.16,0.16,0.26,0.0,0.0,0.26,0.18,0.24,0.42,0.0,,0.0,0.05,,0.05,0.05,0.0,0.05,0.05,0.0,0.05,0.03,0.0,0.03,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64,0.0,8.64,1.61,0.0,1.61,10.25,0.0,10.25
AL,Dallas County,1047,2010,43820.0,,,34400.0,5.9,0.0,5.9,0.0,0.0,0.0,5.9,0.0,5.9,9420.0,0.64,0.0,0.64,68.0,2.98,87.0,3.62,0.14,0.0,0.14,32.19,0.0,32.19,32.33,0.0,32.33,0.37,2.05,2.42,3.49,0.01,0.01,3.51,0.37,1.91,2.28,3.23,0.01,0.01,3.25,0.0,0.14,0.14,0.26,0.0,0.0,0.26,0.12,0.18,0.3,5.0,,5.0,2.14,,2.14,7.14,0.0,7.14,0.27,0.0,0.27,0.12,0.0,0.12,0.39,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.44,0.0,12.44,36.68,0.0,36.68,49.12,0.0,49.12
AL,DeKalb County,1049,2010,71109.0,,,51744.0,0.81,0.0,0.81,6.3,0.0,6.3,7.11,0.0,7.11,19365.0,1.32,0.0,1.32,68.0,3.29,64.0,4.61,0.77,0.0,0.77,0.0,0.0,0.0,0.77,0.0,0.77,0.1,0.48,0.58,1.35,0.01,0.01,1.37,0.1,0.29,0.39,0.99,0.01,0.01,1.01,0.0,0.19,0.19,0.36,0.0,0.0,0.36,0.97,1.09,2.06,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.03,0.0,0.03,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,0.0,4.04,7.9,0.0,7.9,11.94,0.0,11.94
AL,Elmore County,1051,2010,79303.0,,,73705.0,3.7,0.0,3.7,9.65,0.0,9.65,13.35,0.0,13.35,5598.0,0.42,0.0,0.42,75.0,5.11,69.0,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,1.14,1.56,2.6,0.02,0.0,2.62,0.42,0.62,1.04,1.92,0.02,0.0,1.94,0.0,0.52,0.52,0.68,0.0,0.0,0.68,0.08,0.09,0.17,0.0,,0.0,0.05,,0.05,0.05,0.0,0.05,0.32,0.0,0.32,0.15,0.0,0.15,0.47,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94,0.0,4.94,11.08,0.0,11.08,16.02,0.0,16.02
AL,Escambia County,1053,2010,38319.0,,,31369.0,5.68,0.0,5.68,0.0,0.0,0.0,5.68,0.0,5.68,6950.0,0.63,0.0,0.63,91.0,2.78,89.0,3.41,1.47,0.0,1.47,33.66,0.0,33.66,35.13,0.0,35.13,2.18,0.84,3.02,2.46,0.01,0.0,2.47,2.18,0.73,2.91,2.25,0.01,0.0,2.26,0.0,0.11,0.11,0.21,0.0,0.0,0.21,0.06,0.08,0.14,0.02,,0.02,0.01,,0.01,0.03,0.0,0.03,0.58,0.0,0.58,0.0,0.0,0.0,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62,0.0,10.62,34.59,0.0,34.59,45.21,0.0,45.21
